Rank,Ticker / Asset,Long-term upside,Business model,Recent growth,Valuation Attractiveness,Risk,Morningstar,Weighted Score,,Primary Theme,,Last Updated,Rating,Entry Watch Zones,Exit Watch Zones,Last Updated
1,TTD (The Trade Desk),5,5,3,5,3,5,4.7,Programmatic advertising / CTV/AI targeting,,,2026-02-25,Strong Buy,22-15,Pending,2026-03-05
2,BTC (Bitcoin),5,5,3,4,4,N/A,4.56,Digital asset / store of value,,,2026-02-25,Strong Buy,75000-67000,Pending,2026-03-05
3,SLV (Silver ETF),5,N/A,4,4,4,N/A,4.54,Industrial/AI/solar tailwinds,,,2026-02-05,Strong Buy,Pending,Pending,
4, ADBE (Adobe Inc),5,5,2,4,4,5,4.5,Creative Cloud ecosystem / flagship apps,,,2026-02-09,Strong Buy,275-245,Pending,2026-03-05
5,IREN (Iris Energy),5,5,4,3,3,N/A,4.44,Renewable AI/HPC data centers,,,2026-02-05,Strong Buy,39.16-37,Pending,2026-03-05
6,TSLA (Tesla),5,5,3.5,3,4,3,4.35,"Autonomy, energy storage, robotics",,,2026-02-05,Strong Buy,402-345,Pending,2026-03-05
7,PLTR (Palantir),5,5,3,2,4,3,4.2,AI platforms / data analytics,,,2026-02-05,Buy,,,
8,ACHR (Archer Aviation),5,5,2,2,2,N/A,4,eVTOL / urban air mobility,,,2026-02-05,Buy,,,
9,ORCL (Oracle),4,5,2,3,4,4,3.95,"Enterprise database & applications dominance / legacy moat in ERP, HCM, SCM",,,2026-02-09,Buy,,,
10,NBIS (Nebius Group),5,4,5,3,2,2,3.95,"AI-centric cloud platform / full-stack infrastructure for training, tuning, inference & deployment",,,2026-02-25,Buy,,,
11,ONDS (Ondas),4,5,4,3,2,N/A,3.94,Autonomous systems / drone tech,,,2026-02-05,Buy,,,
12,SNDK (SanDisk),4,4,5,4,3,3,3.9,NAND flash / AI storage,,,2026-02-05,Buy,,,
13,INTC (Intel),4,4,4,5,4,2,3.9,Semiconductors / foundry recovery,,,2026-02-05,Buy,,,
14,BRK.B (Berkshire Hathaway B),4,4,3,4,5,3,3.9,Diversified quality compounder,,,2026-02-05,Buy,,,
15,MU (Micron Technology),5,4,5,2,3,1,3.85,Memory / HBM for AI servers,,,2026-02-05,Buy,,,
16,UEC (Uranium Energy Corp),5,4,2,3,2,N/A,3.83,Uranium mining for nuclear/AI power,,,2026-02-05,Buy,,,
17,OKLO (Oklo),5,4,2,3,2,N/A,3.83,Small modular nuclear for AI power,,,2026-02-05,Buy,,,
18,HOOD (Robinhood),4,3,5,4,4,n/a,3.83,Commission-free trading / retail brokerage ecosystem,,,2026-09-05,Buy,,,
19,AAPL (Apple),4,4,3,3,5,3,3.8,Consumer tech ecosystem / Apple Intelligence,,,2026-02-05,Hold,,,
20,RCAT (Red Cat Holding Inc,4,4,5,3,2,N/A,3.78,All-domain drone & robotic systems / defense & national security focus,,,2026-02-09,Hold,,,
21,PLUG (Plug Power),5,4,3,3,2,2,3.75,Hydrogen fuel cells / green hydrogen,,,2026-03-03,Hold,,,
22,CRWV (CoreWeave),4,4,4,3,2,N/A,3.67,AI cloud infrastructure,,,2026-03-03,Buy,,,
23,CIFR (Cipher Mining),4,4,3,4,2,N/A,3.67,Bitcoin mining + HPC/AI energy pivot,,,2026-02-09,Hold,,,
24,AMD (AMD),4,4,3.5,3,3,3,3.65,AI GPUs & CPUs,,,2026-02-05,Buy,,,
25,NOK (Nokia),3,4,4,5,4,3,3.65,Telecom equipment / 5G,,,2026-02-05,Buy,,,
26,HL (Hecla Mining Co),4,3,5,4,2,N/A,3.61,Leading U.S. primary silver producer / North America's largest by output,,,2026-02-09,Hold,,,
27,NVDA (NVIDIA),4,4,4,2,2,4,3.6,AI accelerators / GPUs,,,2026-02-05,Buy,,,
28,WDC (Western Digital),3,4,5,4,3,3,3.55,Hard drives & NAND storage,,,2026-02-05,Buy,,,
29,PYPL (PayPal),3,4,1,5,3.5,5,3.5,Digital payments / fintech,,,2026-02-05,Buy,,,
30,SGAPY (Singtel ADR),3,4,3,4,4,N/A,3.5,Asian telecom / digital services,,,2026-02-05,Buy,,,
31,UAA (Under Armour),3,3,4,5,3,5,3.5,Athletic apparel / turnaround,,,2026-02-05,Hold,,,
32,SOFI (SoFi Technologies),4,3,3,3,4,3,3.45,Digital banking / fintech platform,,,2026-02-05,Buy,,,
33,APLD (Applied Digital),3,4,4,2,3,N/A,3.28,AI/high-performance data centers,,,2026-02-05,Hold,,,
34,ASTS (AST SpaceMobile,3,3,4,3,2,N/A,3,Space-based cellular broadband pioneer / direct-to-unmodified smartphones (4G/5G) anywhere on Earth,,,2026-02-25,Hold,,,
35,CMG (Chipotle),3,3,3,3,3,3,3,Fast-casual restaurant chain,,,2026-02-05,Hold,,,
,SERV (Serve Robotics),,,,,,,,,,,,,,,
,PL (Planet Labs),,,,,,,,,,,,,,,
,RKLB (Rocket Lab),,,,,,,,,,,,,,,
